Lumbar Single Task,Lumbar Dual Task,Trunk Single Task,Trunk Dual Task
222.402345756279,231.865812028461,246.575788271791,198.164777531854
175.989713857916,210.699346059471,159.627831358742,202.934496284089
178.146699197277,207.363454636946,171.10482920721,185.594274409969
254.939603252795,190.288605196789,212.945393335742,431.559203752681
193.650979747621,208.346040421313,281.801825049012,249.104443106909
243.315829846975,225.887938818078,251.24572328662,289.162176093311
188.909516045698,203.249183113522,276.389147261209,180.630952266206
225.244127594453,177.238238142045,210.568638489995,203.976190007526
179.399040735229,157.881404269571,165.042503693742,156.400075123766
255.093441471606,211.607971815673,201.608713732925,173.794999459376
286.083667825788,248.010324627305,205.138435277733,239.010058188215
226.343000280321,226.103485585319,193.390555890062,171.691885238589
209.638885757816,204.729111281689,200.046704717449,205.025070741368
249.432683291315,199.415077208016,338.952751373133,168.953384490161
290.865398510482,195.065063505683,460.616536740762,179.723025201351
196.669889367051,165.815517457756,187.555402668585,154.883136736794
217.329800985726,182.600381834221,214.8419676712,173.174611301384
187.60382367971,176.118619582005,172.320667594633,187.262675328499
182.253530629019,162.818782340928,172.341167930734,170.921265714876
186.942828013752,149.302224971867,184.651025485234,161.091861803019
204.415770373983,143.762298476994,212.391447798535,169.110723569704
195.573099435272,172.819374987325,156.679546897764,404.314899038228
186.994467930249,147.043423517069,226.795210428577,250.848732902567
198.398765499988,166.264118925632,183.519024629052,192.766595671912
343.044519728579,288.63262984316,601.682549729012,903.302495704747
372.85003580762,312.5634276714,698.478257415155,899.929072895819
346.069546231975,309.264040443758,566.15251853453,452.497764254606
205.591097698099,238.432102156167,190.53518796665,167.761493328563
246.883788685824,212.439220495291,284.897780800317,215.988375372436
201.109973567197,193.603459271038,197.317164260303,194.211384763466
249.231283730053,210.587439415726,201.102759698987,561.257881224224
271.106306114347,163.645262991216,308.366132065622,403.671726002204
251.220383163283,174.512645153669,235.826600088177,293.833073379892
246.201699848423,208.6252714799,243.077223244302,178.808701658794
230.181297390718,218.813277146404,226.631660222317,196.549979616926
232.514000644187,211.817276855178,234.375339897814,346.352948581191
278.679801618149,NaN,237.670304742612,NaN
